nombre,poblacion,superficie,continente
Alemania,83149300,357022,Europa
Argentina,45376763,2780400,América
Australia,25499884,7692024,Oceanía
Brasil,213993437,8515767,América
Chile,19116201,756102,América
China,1412600000,9596960,Asia
Colombia,51265844,1141748,América
Corea Del Norte,26633691,120410,Asia
Corea del Sur,51780579,100210,Asia
Egipto,102334404,1001449,África
España,47351567,505990,Europa
Etiopía,114963588,1104300,África
Francia,67391582,551695,Europa
Grecia,10480699,131957,Europa
Honduras,302343243,3000000,América
India,1380004385,3287263,Asia
Indonesia,273523621,1904569,Asia
Italia,60367477,301340,Europa
Japón,125800000,377975,Asia
Kenya,53771296,580367,África
México,126705138,1964375,América
Nigeria,206139589,923768,África
Nueva Zelanda,5084300,270467,Oceanía
Reino Unido,67886011,243610,Europa
Sudáfrica,59308690,1219090,África
